Problem Title,Solved By,Average,Highest,Lowest
01 Warm Up,26,9.46,10,2
02 Déjá Vu,25,9.08,10,2
03 Balanced Parens,20,7.6,10,2
04 Enter the Puzzle Dimension,20,9.15,10,2
05 Sorting Diamonds,15,9.13,10,5
06 Kernel Crap Count,10,8.7,10,2
07 Sums in a Circle,3,7.33,10,2
08 The MAPS-jigsaw,3,9.33,10,9
09 Frenemies,10,7.2,10,2
10 Frengers,2,5.5,9,2
11 Balanced Brackets,11,7,10,2
12 The MAPS Sequence,6,8.5,10,2
13 Cryptocraphic Cipher,1,10,10,10
"14 Words, Words, Words",10,9.7,10,8
15 Movie Bucket,10,7.9,10,2
16 Group Calculator,2,6,10,2
